Pre-la-Joux: 6.7881017; 46.2332683!
Labruyere-Dorsa: 1.47145; 43.4067!
Lacaugne: 1.27076; 43.2864!
La Magdelaine-sur-Tarn: 1.54457; 43.8118!
La Salvetat-Lauragais: 1.79543; 43.5415!
Juzet-d'Izaut: 0.755093; 42.9785!
Juzet-de-Luchon: 0.609219; 42.808!
Labastide-Beauvoir: 1.66622; 43.4822!
Labastide-Clermont: 1.1218302; 43.3493258!
Labarthe-Inard: 0.836376; 43.1064!
Labarthe-Riviere: 0.6715502; 43.0809246!
Larra: 1.2336183; 43.7394286!
Lareole: 1.02212; 43.738!
Lasserre: 1.16878; 43.6388!
Lanta: 1.654586; 43.5613858!
Landorthe: 0.7827945; 43.1318147!
Larcan: 0.720983; 43.176!
Lapeyrouse-Fossat: 1.5170896; 43.6927081!
Lahage: 1.06155; 43.4407!
Lagraulet-Saint-Nicolas: 1.0788348; 43.7930263!
Lamasquere: 1.24318; 43.4842!
Lalouret-Laffiteau: 0.702207; 43.1861!
Lagarde: 1.713205; 43.345841!
Lafitte-Vigordane: 1.1631965; 43.2993668!
Lagrace-Dieu: 1.421158; 43.3398148!
Lagardelle-sur-Leze: 1.38837; 43.4129!
Le Cabanial: 1.87396; 43.5164!
Le Castera: 1.13914; 43.6722!
Le Cuing: 0.613762; 43.1451!
Le Faget: 1.82276; 43.5686!
Lavernose-Lacasse: 1.2620092; 43.3964561!
Layrac-sur-Tarn: 1.55419; 43.8345!
Le Born: 1.5448241; 43.8842264!
Le Burgaud: 1.16207; 43.7961!
Lautignac: 1.05769; 43.382!
Lauzerville: 1.56535; 43.5558!
Lavelanet-de-Comminges: 1.1188003; 43.2557221!
Latoue: 0.7852904; 43.1685847!
Latour: 1.28175; 43.2006!
Latrape: 1.28708; 43.245!
Launac: 1.1814149; 43.7436094!
Lilhac: 0.809482; 43.285!
Lez: 0.701053; 42.9094!
Levignac: 1.1951587; 43.6680388!
Lestelle-de-Saint-Martory: 0.912497; 43.1217!
Lespugue: 0.664973; 43.2326!
Lespiteau: 0.7623329; 43.068099!
Lespinasse: 1.3854591; 43.7077986!
Les Tourreilles: 0.553022; 43.1105!
Lege: 0.6100228; 42.8767279!
Lecussan: 0.501397; 43.1609!
Le Plan: 1.1202138; 43.1671631!
Le Pin-Murelet: 1.01851; 43.4006!
Le Gres: 1.0991; 43.723!
Le Frechet: 0.938178; 43.1888!
Le Fousseret: 1.0650888; 43.281098!
Le Fauga: 1.2961; 43.3966!
Marignac-Laspeyres: 0.9663597; 43.2150812!
Marliac: 1.4776231; 43.228403!
Marignac: 0.659216; 42.9138!
Marignac-Lasclares: 1.0981283; 43.3060042!
Mancioux: 0.952959; 43.1585!
Mane: 0.952035; 43.0814551!
Lux: 1.7835; 43.4367!
Malvezie: 0.6873787; 43.006079!
Lussan-Adeilhac: 0.941362; 43.2993!
Lourde: 0.6608353; 42.9843479!
Lunax: 0.687394; 43.3391!
Loubens-Lauragais: 1.78512; 43.5733!
Loudet: 0.573642; 43.1482!
Lodes: 0.682417; 43.1707!
Longages: 1.2399766; 43.3555742!
Mervilla: 1.47395; 43.5083!
Merenvielle: 1.15761; 43.6279!
Menville: 1.19395; 43.6775!
Melles: 0.7581; 42.8677!
Miremont: 1.4181; 43.3706!
Miramont-de-Comminges: 0.746247; 43.0943!
Mirambeau: 0.866867; 43.4028!
Milhas: 0.806468; 42.988!
Mondilhan: 0.707333; 43.2939!
Mondavezan: 1.03775; 43.24!
Molas: 0.785772; 43.3992!
Mirepoix-sur-Tarn: 1.5718728; 43.8126335!
Mons: 1.5721111; 43.6118557!
Monestrol: 1.67052; 43.334!
Mondouzil: 1.5575978; 43.6345842!
Mondonville: 1.2879155; 43.6710689!
Martisserre: 0.878906; 43.3914!
Martres-de-Riviere: 0.641092; 43.079!
Marquefave: 1.24532; 43.317!
Marsoulas: 0.998641; 43.1065093!
Massabrac: 1.3716952; 43.2254896!
Mauran: 1.0321757; 43.1893105!
Martres-Tolosane: 1.0102796; 43.1984229!
Mascarville: 1.75815; 43.5538!
Mauressac: 1.43485; 43.3242!
Maureville: 1.70196; 43.5225!
Mauremont: 1.6794953; 43.4570363!
Maurens: 1.79397; 43.4654!
Mauzac: 1.29361; 43.3755!
Mazeres-sur-Salat: 0.9743139; 43.1333107!
Mauvaisin: 1.54989; 43.3542!
Mauvezin: 0.9293955; 43.3849761!
Montgaillard-de-Salies: 0.932422; 43.0611!
Montesquieu-Lauragais: 1.62834; 43.4171!
Montgaillard-sur-Save: 0.7294434; 43.2540323!
Montgaillard-Lauragais: 1.69809; 43.4312!
Montgeard: 1.6334232; 43.338626!
Montgazin: 1.30366; 43.3095!
Montgras: 1.05691; 43.4533!
Montjoire: 1.53391; 43.7698!
Montoulieu-Saint-Bernard: 0.909491; 43.2331!
Montmaurin: 0.636882; 43.224!
Montpitol: 1.65092; 43.7045!
Montoussin: 1.01052; 43.2762!
Mourvilles-Basses: 1.70351; 43.4858!
Montsaunes: 0.936808; 43.1123!
Montaigut-sur-Save: 1.2307852; 43.6916846!
Montastruc-de-Salies: 0.894111; 43.0308!
Montastruc-Saves: 1.01919; 43.3615!
Montauban-de-Luchon: 0.608177; 42.7917!
Montaut: 1.29764; 43.356!
Montberaud: 1.14334; 43.1543!
Montbernard: 0.77288; 43.3014!
Montberon: 1.4797585; 43.716024!
Montbrun-Bocage: 1.2666304; 43.1275985!
Montbrun-Lauragais: 1.522606; 43.4568086!
Montclar-de-Comminges: 1.0216; 43.1771!
Montclar-Lauragais: 1.71502; 43.3613!
Montegut-Bourjac: 0.9885148; 43.2819392!
Montegut-Lauragais: 1.91993; 43.4798!
Montespan: 0.852786; 43.0858!
Montesquieu-Guittaut: 0.77555; 43.3376!
Plagne: 1.0602138; 43.1571229!
Pin-Balma: 1.5337067; 43.6285006!
Peyssies: 1.1772775; 43.3215011!
Peyrouzet: 0.831305; 43.2013!
Peyrissas: 0.909749; 43.2859!
Pelleport: 1.11654; 43.7383!
Peguilhan: 0.707928; 43.3142!
Pechbusque: 1.45727; 43.5286!
Poucharramet: 1.17298; 43.4168!
Portet-d'Aspet: 0.8656845; 42.9406504!
Ponlat-Taillebourg: 0.600709; 43.1135!
Pompertuzat: 1.51862; 43.4924!
Polastron: 0.958952; 43.3258503!
Pointis-Inard: 0.8125323; 43.0861823!
Pointis-de-Riviere: 0.6171722; 43.0870336!
Plagnole: 1.05545; 43.4121!
Noueilles: 1.52162; 43.4149!
Odars: 1.58907; 43.5237!
Nizan-Gesse: 0.596323; 43.2329!
Nogaret: 1.92894; 43.4927!
Nailloux: 1.6233628; 43.3558921!
Nenigan: 0.701746; 43.3562!
Mourvilles-Hautes: 1.8164; 43.4256!
Moustajon: 0.597532; 42.815!
Pechabou: 1.5088294; 43.5005961!
Pechbonnieu: 1.4670512; 43.7027161!
Paulhac: 1.55504; 43.7564!
Payssous: 0.7146907; 43.0341052!
Ore: 0.651313; 42.9749!
Palaminy: 1.07152; 43.2031!
Ondes: 1.30795; 43.7823!
Oo: 0.5067617; 42.7971684!
Saint-Andre: 0.851411; 43.2733!
Saiguede: 1.1446254; 43.5286016!
Saint-Aventin: 0.545984; 42.8063!
Saint-Araille: 0.991281; 43.3584!
Rouffiac-Tolosan: 1.5248611; 43.6639127!
Rouede: 0.882334; 43.0527!
Sabonneres: 1.06267; 43.4658!
Roumens: 1.92877; 43.4632!
Saint-Elix-le-Chateau: 1.1367455; 43.280344!
Saint-Clar-de-Riviere: 1.2163516; 43.465601!
Saint-Felix-Lauragais: 1.8878325; 43.44897!
Saint-Elix-Seglan: 0.8519845; 43.1941969!
Saint-Bertrand-de-Comminges: 0.5709761; 43.0268652!
Saint-Beat: 0.692807; 42.9144!
Saint-Christaud: 1.12891; 43.1899!
Saint-Cezert: 1.19558; 43.7826!
Proupiary: 0.863775; 43.1611!
Prunet: 1.7316; 43.569!
Puydaniel: 1.4325334; 43.3373729!
Puymaurin: 0.7648649; 43.3724825!
Pouy-de-Touges: 1.0369; 43.3436!
Pouze: 1.52661; 43.4336!
Pradere-les-Bourguets: 1.16508; 43.6402!
Preserville: 1.6249; 43.5227!
Rieumajou: 1.7883; 43.4155!
Rieux-Volvestre: 1.20185; 43.258!
Roquefort-sur-Garonne: 0.9746528; 43.1629261!
Roqueseriere: 1.6373504; 43.7337222!
Puyssegur: 1.06207; 43.7486!
Rebigue: 1.4737057; 43.4889644!
Regades: 0.723743; 43.0502!
Renneville: 1.72404; 43.3811!
Saint-Rustice: 1.3281477; 43.8054048!
Saint-Sauveur: 1.3994331; 43.7491612!
Saint-Plancard: 0.5761238; 43.1717515!
Saint-Rome: 1.6780497; 43.415617!
Saint-Vincent: 1.75746; 43.4389!
Sainte-Foy-d'Aigrefeuille: 1.6096467; 43.5432622!
Saint-Sulpice-sur-Leze: 1.3204123; 43.3282985!
Saint-Thomas: 1.0827769; 43.5143718!
Saint-Michel: 1.08536; 43.167!
Saint-Paul-sur-Save: 1.2238796; 43.69629!
Saint-Martory: 0.930359; 43.1414!
Saint-Medard: 0.837402; 43.1274!
Saint-Pierre: 1.649796; 43.6305719!
Saint-Pierre-de-Lages: 1.62344; 43.5705!
Saint-Pe-d'Ardet: 0.6693758; 42.9838444!
Saint-Pe-Delbosc: 0.698475; 43.2694!
Saint-Leon: 1.56123; 43.4014!
Saint-Laurent: 0.79977; 43.3253!
Saint-Lary-Boujean: 0.736794; 43.2287!
Saint-Julien-sur-Garonne: 1.1521319; 43.2429542!
Saint-Marcet: 0.7391097; 43.1972984!
Saint-Marcel-Paulel: 1.60522; 43.6625!
Saint-Mamet: 0.6011945; 42.7821787!
Saint-Loup-Cammas: 1.47747; 43.6965!
Saint-Germier: 1.7334266; 43.4698962!
Saint-Genies-Bellevue: 1.4854271; 43.68255!
Saint-Ferreol-de-Comminges: 0.740927; 43.3373!
Saint-Julia: 1.89776; 43.4898!
Saint-Jean-Lherm: 1.6100886; 43.7033032!
Saint-Ignan: 0.694874; 43.1571!
Saint-Hilaire: 1.2783958; 43.4222842!
Sepx: 0.8411237; 43.155321!
Seyre: 1.6706123; 43.363412!
Signac: 0.628282; 42.9054!
Soueich: 0.7788569; 43.047584!
Tarabel: 1.67722; 43.5122!
Terrebasse: 0.963099; 43.2392!
Thil: 1.1608742; 43.7119378!
Touille: 0.97272; 43.0801!
Savarthes: 0.805357; 43.1195!
Saveres: 1.1053465; 43.3703263!
Sedeilhac: 0.557497; 43.1533!
Segreville: 1.74234; 43.4896!
Seilh: 1.3534881; 43.694573!
Seilhan: 0.575018; 43.051!
Senarens: 0.975637; 43.3506!
Sengouagnet: 0.7891059; 42.9862225!
Sana: 1.0120301; 43.2277137!
Samouillan: 0.945054; 43.2636!
Sarremezan: 0.66763; 43.2085!
Sarrecave: 0.594866; 43.2137!
Saussens: 1.72198; 43.5877!
Saubens: 1.34809; 43.4787!
Saux-et-Pomarede: 0.7179426; 43.1537706!
Sauveterre-de-Comminges: 0.6756141; 43.0320299!
Sainte-Livrade: 1.1047959; 43.6504466!
Sainte-Foy-de-Peyrolieres: 1.14481; 43.4926!
Saleich: 0.968423; 43.0253!
Sajas: 1.0200673; 43.3767201!
Salles-et-Pratviel: 0.604742; 42.831!
Salerm: 0.816269; 43.3015!
Saman: 0.72082; 43.2352!
Salles-sur-Garonne: 1.17968; 43.273!
Villeneuve-les-Bouloc: 1.42747; 43.7698!
Villenouvelle: 1.66193; 43.4352!
Villeneuve-de-Riviere: 0.6653753; 43.1220125!
Villeneuve-Lecussan: 0.499581; 43.1496!
Villaudric: 1.433097; 43.8304649!
Villematier: 1.50943; 43.829!
Villaries: 1.4919378; 43.753364!
Villate: 1.3786126; 43.4689989!
Vigoulet-Auzil: 1.46003; 43.5073!
Vignaux: 1.0690342; 43.6846546!
Vieillevigne: 1.6566; 43.402!
Vieille-Toulouse: 1.4455249; 43.5271458!
Vendine: 1.7676927; 43.589063!
Vaux: 1.8363924; 43.4570482!
Vaudreuille: 1.9811; 43.4257!
Varennes: 1.6883; 43.4775!
Vallesvilles: 1.6443313; 43.592466!
Vallegue: 1.75712; 43.4259!
Valentine: 0.704317; 43.0949075!
Valcabrere: 0.5834126; 43.0329732!
Vacquiers: 1.4789736; 43.778361!
Urau: 0.955283; 43.0163!
Trebons-sur-la-Grasse: 1.72275; 43.4505!
Toutens: 1.74441; 43.4775!
Aguessac: 3.0974965; 44.1555141!
Almont-les-Junies: 2.29323; 44.597!
Alpuech: 2.8481521; 44.7624233!
Alrance: 2.6837503; 44.1315135!
Ambeyrac: 1.94432; 44.51!
Anglars-Saint-Felix: 2.2189; 44.424!
Arnac-sur-Dourdou: 2.9327484; 43.726212!
Arvieu: 2.6619855; 44.1898756!
Asprieres: 2.1457171; 44.545592!
Aurelle-Verlac: 3.00796; 44.5057!
Auriac-Lagast: 2.5789057; 44.1462993!
Auzits: 2.3263; 44.5044!
Ayssenes: 2.7795935; 44.0687343!
Balaguier-d'Olt: 1.9734415; 44.5235283!
Balsac: 2.4452; 44.4028!
Balaguier-sur-Rance: 2.5800953; 43.8972557!
Belmont-sur-Rance: 2.7548615; 43.817111!
Belcastel: 2.33473; 44.3873!
Bessuejouls: 2.72452; 44.5213!
Bertholene: 2.77641; 44.3941!
Bor-et-Bar: 2.07552; 44.1885!
Boisse-Penchot: 2.20448; 44.5869!
Bouillac: 2.16168; 44.5742!
Brandonnet: 2.1348; 44.3875!
Boussac: 2.36668; 44.2777!
Brommat: 2.68482; 44.8288!
Brasc: 2.5725951; 43.9777517!
Brousse-le-Chateau: 2.6245025; 43.9969336!
Broquies: 2.6960093; 44.0045103!
Cabanes: 2.30328; 44.1864!
Calmels-et-le-Viala: 2.7529465; 43.9461397!
Brusque: 2.9490127; 43.7676064!
Buzeins: 2.97187; 44.3736!
Camboulazet: 2.44074; 44.2276!
Camjac: 2.3786313; 44.1807857!
Calmont: 2.51299; 44.2494!
Campuac: 2.58998; 44.569!
Canet-de-Salars: 2.75373; 44.2351!
Campagnac: 3.08708; 44.4174!
Campouriez: 2.60672; 44.6894!
Cassuejouls: 2.8171114; 44.7260883!
Castanet: 2.28935; 44.2781!
Cantoin: 2.8137866; 44.8370342!
Cassagnes-Begonhes: 2.53052; 44.169!
Gelles: 2.04785; 44.5137!
Castelnau-Pegayrols: 2.9323815; 44.1297263!
Castelnau-de-Mandailles: 2.885874; 44.5365912!
Castelmary: 2.2463048; 44.1825652!
Combret: 2.672746; 43.8419802!
Colombies: 2.3371176; 44.3442886!
Clairvaux-d'Aveyron: 2.4101929; 44.4271644!
Centres: 2.4081; 44.1635!
Comps-la-Grand-Ville: 2.56867; 44.2313!
Compregnac: 2.9611319; 44.0832882!
Compolibat: 2.1940278; 44.3778695!
Compeyre: 3.1012622; 44.1608426!
Cornus: 3.1786562; 43.9015044!
Conques: 2.397379; 44.59965!
Connac: 2.60191; 44.0204!
Condom-d'Aubrac: 2.86696; 44.617!
Crespin: 2.2824115; 44.1586616!
Cruejouls: 2.8548369; 44.4450961!
Curan: 2.8557; 44.2001!
Curieres: 2.86534; 44.6532!
Coubisou: 2.73165; 44.5532!
Coupiac: 2.5801074; 43.9543047!
Coussergues: 2.8774834; 44.412657!
Creissels: 3.0612932; 44.0858706!
Escandolieres: 2.34005; 44.4694!
Espeyrac: 2.5106485; 44.6133031!
Estaing: 2.6731992; 44.5537359!
Fayet: 2.9482796; 43.8026064!
Druelle: 2.50501; 44.3605!
Drulhe: 2.12707; 44.4628!
Durenque: 2.6164481; 44.1106038!
Entraygues-sur-Truyere: 2.56605; 44.6432147!
Gabriac: 2.7933329; 44.4522609!
Fondamente: 3.1233225; 43.876903!
Galgan: 2.17948; 44.5025!
Gaillac-d'Aveyron: 2.9284031; 44.3557133!
Flavin: 2.6041207; 44.2902029!
Flagnac: 2.24708; 44.6037!
Foissac: 2.0036; 44.5107!
Florentin-la-Capelle: 2.632126; 44.6293347!
Grand-Vabre: 2.3574; 44.6301!
Gramond: 2.36437; 44.2659!
L'Hospitalet-du-Larzac: 3.1958701; 43.9729548!
Huparlac: 2.7619366; 44.7143448!
Golinhac: 2.58387; 44.6041!
Gissac: 2.9320596; 43.8463267!
Graissac: 2.7792835; 44.7657816!
Goutrens: 2.37064; 44.4429!
La Cavalerie: 3.1572388; 44.008237!
La Couvertoirade: 3.3164627; 43.9135013!
La Capelle-Bleys: 2.1826594; 44.2947403!
La Capelle-Bonance: 3.01251; 44.4431!
La Bastide-Solages: 2.5246; 43.9449!
La Capelle-Balaguier: 1.93772; 44.4378!
La Bastide-l'Eveque: 2.1341553; 44.3405183!
La Bastide-Pradines: 3.0459106; 44.0012582!
La Selve: 2.534042; 44.1122061!
La Serre: 2.63353; 43.8934!
La Rouquette: 1.97362; 44.303!
La Salvetat-Peyrales: 2.2026903; 44.2199057!
La Loubiere: 2.66764; 44.3712!
La Roque-Sainte-Marguerite: 3.2230444; 44.1249036!
La Cresse: 3.1294794; 44.1777908!
La Fouillade: 2.03858; 44.2317!
Lapanouse-de-Cernon: 3.097576; 43.9959592!
Lapanouse: 3.0309362; 44.3352803!
Lanuejouls: 2.16066; 44.4249!
Laissac: 2.8244663; 44.3809557!
Laguiole: 2.8484259; 44.683745!
Lacroix-Barrez: 2.63895; 44.7807!
Lacalm: 2.8820982; 44.7719811!
La Terrisse: 2.8191103; 44.7553346!
Le Nayrac: 2.6627058; 44.613019!
Le Monastere: 2.5785541; 44.3427111!
Le Fel: 2.5043785; 44.6526617!
Le Clapier: 3.1723; 43.8313!
Le Cayrol: 2.7919617; 44.5873529!
Lavernhe: 3.0021075; 44.308452!
Laval-Roqueceziere: 2.6479184; 43.8077183!
Lassouts: 2.8636024; 44.4864021!
Lunac: 2.11281; 44.235!
Lugan: 2.25886; 44.4835!
Manhac: 2.46823; 44.2569!
Maleville: 2.10206; 44.3971!
Latour-sur-Sorgues: 3.0305894; 43.8725508!
Marcillac-Vallon: 2.4650872; 44.4744182!
Martrin: 2.6194703; 43.9384338!
Martiel: 1.9219; 44.3773!
Le Truel: 2.7545311; 44.0493338!
Les Albres: 2.17355; 44.5384!
Ledergues: 2.441065; 44.0877106!
Lescure-Jaoul: 2.14657; 44.2307!
Les Costes-Gozon: 2.8025236; 44.0177032!
Livinhac-le-Haut: 2.22853; 44.5915!
Lestrade-et-Thouels: 2.6602608; 44.0596047!
Montfranc: 2.56773; 43.8436!
Montjaux: 2.90623; 44.1027!
Montlaur: 2.8332043; 43.8800996!
Montpeyroux: 2.8238033; 44.6416462!
Montrozier: 2.74556; 44.406!
Montsales: 1.9611457; 44.491496!
Morlhon-le-Haut: 2.0625557; 44.3247587!
Mostuejouls: 3.1848511; 44.2024869!
Mayran: 2.36351; 44.3883!
Melagues: 3.0180377; 43.7392414!
Meljac: 2.4349; 44.1381!
Montagnol: 3.0133426; 43.8383879!
Montbazens: 2.2295701; 44.476229!
Montclar: 2.6470951; 43.9673651!
Monteils: 1.9968221; 44.2663896!
Montezic: 2.6398675; 44.7085893!
Naussac: 2.0944406; 44.5206605!
Naucelle: 2.3418494; 44.1979349!
Nant: 3.3014346; 44.0225739!
Paulhe: 3.1035559; 44.1523455!
Palmas: 2.8414164; 44.3944251!
Ols-et-Rinhodes: 1.96134; 44.4671!
Noailhac: 2.37468; 44.566!
Mur-de-Barrez: 2.66334; 44.8416!
Moyrazes: 2.4392627; 44.3433079!
Mounes: 2.8535679; 43.7867811!
Najac: 1.97981; 44.2197!
Murols: 2.57632; 44.755!
Muret-le-Chateau: 2.575532; 44.4936741!
Murasson: 2.7635538; 43.7602736!
Pradinas: 2.26427; 44.2398!
Previnquieres: 2.22965; 44.3742!
Prades-d'Aubrac: 2.939005; 44.5338895!
Prades-Salars: 2.78414; 44.2633!
Quins: 2.37321; 44.2327!
Rebourguil: 2.775293; 43.8877607!
Privezac: 2.18738; 44.4125!
Pruines: 2.50173; 44.5313!
Peyrusse-le-Roc: 2.14047; 44.4955!
Pierrefiche: 2.94815; 44.4435!
Peux-et-Couffouleux: 2.8590923; 43.7698357!
Peyreleau: 3.20796; 44.1881!
Pont-de-Salars: 2.7274903; 44.2811896!
Pousthomy: 2.6128377; 43.8583003!
Plaisance: 2.5472505; 43.9268331!
Pomayrols: 3.02496; 44.471!
Saint-Christophe-Vallon: 2.40998; 44.4702!
Saint-Chely-d'Aubrac: 2.921377; 44.5904372!
Saint-Cyprien-sur-Dourdou: 2.4099; 44.5463!
Saint-Come-d'Olt: 2.8149641; 44.5148793!
Saint-Andre-de-Vezines: 3.25847; 44.1526!
Saint-Andre-de-Najac: 2.0409; 44.1894!
Saint-Beauzely: 2.95949; 44.1676!
Saint-Beaulize: 3.107788; 43.8978799!
Roussennac: 2.2529617; 44.4536226!
Roquefort-sur-Soulzon: 2.9904721; 43.9761756!
Saint-Amans-des-Cots: 2.6606; 44.6904!
Rullac-Saint-Cirq: 2.49066; 44.1316!
Rignac: 2.2887841; 44.4098842!
Recoules-Previnquieres: 2.96791; 44.3413!
Rodelle: 2.6264287; 44.4908174!
Riviere-sur-Tarn: 3.1322855; 44.1883973!
Saint-Laurent-d'Olt: 3.1112811; 44.4460128!
Saint-Laurent-de-Levezou: 2.958809; 44.2081904!
Saint-Leons: 2.9875823; 44.216185!
Saint-Martin-de-Lenne: 2.96525; 44.4314!
Saint-Jean-du-Bruel: 3.3597117; 44.0230578!
Saint-Jean d'Alcas: 3.0050854; 43.9279359!
Saint-Juery: 2.6950965; 43.9094847!
Saint-Just-sur-Viaur: 2.3662621; 44.1251698!
Saint-Igest: 2.08505; 44.4393!
Saint-Izaire: 2.719566; 43.9749513!
Saint-Jean-d'Alcapies: 2.9741936; 43.9516505!
Saint-Jean-Delnous: 2.4904; 44.0442!
Saint-Felix-de-Lunel: 2.53835; 44.5619!
Saint-Georges-de-Luzencon: 2.9855424; 44.063084!
Saint-Hippolyte: 2.59203; 44.711!
Sainte-Juliette-sur-Viaur: 2.52115; 44.2148!
Sainte-Genevieve-sur-Argence: 2.7579345; 44.8034309!
Sainte-Eulalie-de-Cernon: 3.1359466; 43.9816912!
Sainte-Eulalie-d'Olt: 2.9449656; 44.4649266!
Sainte-Croix: 1.967159; 44.4263367!
Saint-Victor: 2.8321727; 44.0516987!
Saint-Symphorien-de-Thenieres: 2.72882; 44.7373!
Saint-Sever-du-Moustier: 2.6994504; 43.7767877!
Saint-Sernin-sur-Rance: 2.6034391; 43.8847922!
Saint-Saturnin-de-Lenne: 3.01835; 44.4233!
Saint-Santin: 2.2186879; 44.6487697!
Saint-Salvadou: 2.10034; 44.2809!
Saint-Rome-de-Tarn: 2.8963588; 44.0485396!
Saint-Rome-de-Cernon: 2.9643361; 44.0118233!
Saint-Remy: 2.03995; 44.3982!
Saint-Parthem: 2.31436; 44.6263!
Severac-l'Eglise: 2.8462448; 44.3624619!
Sonnac: 2.1092316; 44.5480051!
Savignac: 1.96452; 44.3592!
Sebrazac: 2.65656; 44.5257!
Saujac: 1.89141; 44.4959!
Sauveterre-de-Rouergue: 2.31815; 44.2235!
Sanvensa: 2.04983; 44.2922!
Salmiech: 2.56867; 44.182!
Salvagnac-Cajarc: 1.84689; 44.4751!
Salles-Curan: 2.7876329; 44.1822659!
Salles-la-Source: 2.5144663; 44.4366137!
Sainte-Radegonde: 2.6263663; 44.3371446!
Salles-Courbaties: 2.07887; 44.473!
Vezins-de-Levezou: 2.95211; 44.2787!
Veyreau: 3.3001458; 44.185112!
Verrieres: 3.0579185; 44.2012152!
Villefranche-de-Panat: 2.7042405; 44.0876006!
Villecomtal: 2.5642884; 44.5389653!
Viala-du-Tarn: 2.8786486; 44.0713054!
Viala-du-Pas-de-Jaux: 3.0551146; 43.9566154!
Viviez: 2.21591; 44.5558!
Vitrac-en-Viadene: 2.83526; 44.7965!
Vimenet: 2.92658; 44.4005!
Tauriac-de-Camares: 3.0293461; 43.7798854!
Tauriac-de-Naucelle: 2.3056904; 44.1532228!
Soulages-Bonneval: 2.7912258; 44.675825!
Sylvanes: 2.9609469; 43.8344016!
Therondels: 2.75931; 44.8966!
Toulonjac: 2.0; 44.3816!
Taussac: 2.64444; 44.8284!
Tayrac: 2.23317; 44.2029!
Vabre-Tizac: 2.1490795; 44.2704182!
Vabres-l'Abbaye: 2.8372069; 43.94526!
Tremouilles: 2.64435; 44.2437!
Valzergues: 2.22217; 44.4984!
Vaureilles: 2.19932; 44.4524!
Vailhourles: 1.90764; 44.3047!
Valady: 2.4264; 44.4557!
Maureilhan: 3.1207097; 43.3565052!
Hannonville-Suzemont: 5.8343133; 49.0960404!
Pareid: 5.7141616; 49.1171478!
Xonville: 5.8508614; 49.0552455!
Montsauche-les-Settons: 4.0246006; 47.2146251!
Courcelles-sur-Nied: 6.3083249; 49.0665293!
Coin-les-Cuvry: 6.1569029; 49.034658!
Waville: 5.9510847; 49.0096299!
Onville: 5.9708686; 49.0162446!
Mosset: 2.3483549; 42.6687546!
Campome: 2.3760938; 42.6507135!
Molitg-les-Bains: 2.3880537; 42.6524451!
Gorze: 5.9988241; 49.0516254!
Urcourt: 5.9378428; 49.1325923!
Villers aux Bois: 5.9813648; 49.1163095!
Argenton: -4.7528296; 48.5285283!
Nohant-en-Gout: 2.5724044; 47.0985485!
Warcq: 5.6531489; 49.1960767!
Boinville en Woevre: 5.675371; 49.1851975!
Moulins-sur-Yevre: 2.5177131; 47.0835945!
Moulainville: 5.4970109; 49.1614139!
Eix: 5.4961324; 49.1789398!
La Souque: 2.6129938; 43.5500788!
Tousson: 2.4572873; 48.3476959!
Maisse: 2.3755851; 48.3942835!
Milly-la-Foret: 2.467389; 48.4039953!
Saint-Germain-sur-Ille: -1.6592054; 48.2490799!
Moigny-sur-Ecole: 2.45672; 48.4326946!
Courances: 2.47554; 48.4401438!
Dannemois: 2.4778402; 48.4538873!
Soisy-sur-Ecole: 2.494958; 48.4786406!
Hellange: 6.1487854; 49.5079525!
Saint-Seine-l'Abbaye: 4.7901094; 47.4396954!
Jujols: 2.2950522; 42.5700747!
Flassa: 2.3140663; 42.5756285!
Saint-Francois-Longchamp 1650: 6.3620514; 45.4172599!
Longchamp: 6.360473; 45.4206128!
Crassier: 6.167521; 46.372818!
Lugnez: 7.1000726; 47.4845169!
Saint-Gingolph: 6.8046134; 46.392016!
Perl: 6.3867787; 49.4749078!
La Brevine: 6.6051879; 46.9821252!
Perly-Certoux: 6.0871835; 46.156119!
Roche-d'Or: 6.9517133; 47.3664081!
Burg im Leimental: 7.4414641; 47.4578932!
Bonneville: 6.4081056; 46.0776168!
Beurnevesin: 7.1364525; 47.4922827!
Riaville: 5.668592; 49.1000123!
Butgneville: 5.7243607; 49.0859042!
Rouvres-en-Woevre: 5.6910568; 49.219244!
Lanheres: 5.7130781; 49.2045942!
Domprix: 5.7564853; 49.3284468!
Avillers: 5.7382834; 49.3215106!
Xivry-Circourt: 5.7611701; 49.3557515!
Mercy-le-Bas: 5.7583004; 49.3906997!
Serrouville: 5.8880335; 49.3985958!
Errouville: 5.9029624; 49.4149769!
Crusnes: 5.9154872; 49.4344038!
Mont Villers: 5.5725877; 49.1030364!
Saint-Hilaire-en-Woevre: 5.7054771; 49.080397!
Bonzee: 5.5919678; 49.0976239!
Les Eparges: 5.5948274; 49.0653425!
Tresauvaux: 5.6083728; 49.0770942!
Combres-sous-les-Cotes: 5.6255787; 49.0583731!
Biel-Benken: 7.520962; 47.506771!
Reclere: 6.9219953; 47.3756339!
Epiquerez: 7.0571129; 47.3282842!
Nothweiler: 7.7987679; 49.0682196!
Scheibenhardt, Pfalz: 8.1381589; 48.9820168!
Mauschbach: 7.3934568; 49.1862057!
Fresnes-en-Woevre: 5.6307494; 49.0963224!
Uberherrn: 6.7013967; 49.2405958!
Saulx-les-Champlon: 5.6545656; 49.0691664!
Riedelberg: 7.4492689; 49.1786697!
